MatchName,MatchId,SummonerName,championName
14.1.547.8890,LOLTMNT99_113227,cq|000168,CAT avril,Caitlyn
14.1.547.8890,LOLTMNT99_113227,cq|000168,Billy1,Zyra
14.1.547.8890,LOLTMNT99_113227,cq|000168,TLHC Jenkins,Sejuani
14.1.547.8890,LOLTMNT99_113227,cq|000168,CNV Shimmer,Jax
14.1.547.8890,LOLTMNT99_113227,cq|000168,AOE Breezy,Nautilus
14.1.547.8890,LOLTMNT99_113227,cq|000168,Jojopyun,Sylas
14.1.547.8890,LOLTMNT99_113227,cq|000168,Tenacity,Jayce
14.1.547.8890,LOLTMNT99_113227,cq|000168,Doublelift,Aphelios
14.1.547.8890,LOLTMNT99_113230,cq|000169,COLD Antcliff,Garen
14.1.547.8890,LOLTMNT99_113230,cq|000169,BOG RJS,Syndra
14.1.547.8890,LOLTMNT99_113230,cq|000169,WC Lens,Jinx
14.1.547.8890,LOLTMNT99_113230,cq|000169,CCGE Bruhruto,Pyke
14.1.547.8890,LOLTMNT99_113230,cq|000169,FLY Bwipo,Rumble
14.1.547.8890,LOLTMNT99_113230,cq|000169,MU Niles,Pantheon
14.1.547.8890,LOLTMNT99_113230,cq|000169,TACO Nxi,Elise
14.1.547.8890,LOLTMNT99_113230,cq|000169,AOE DARKWINGS,Jayce
14.1.547.8890,LOLTMNT99_113230,cq|000169,TRV InoriB,Aphelios
14.1.547.8890,LOLTMNT99_113230,cq|000169,FLY Busio,Heimerdinger
14.1.547.8890,LOLTMNT99_113248,cq|000170,Jojopyun,TwistedFate
14.1.547.8890,LOLTMNT99_113248,cq|000170,COLD Yukino,Khazix
14.1.547.8890,LOLTMNT99_113248,cq|000170,Tenacity,Aatrox
14.1.547.8890,LOLTMNT99_113248,cq|000170,DIG Tomo,Lucian
14.1.547.8890,LOLTMNT99_113248,cq|000170,DIG Isles,Nami
14.1.547.8890,LOLTMNT99_113248,cq|000170,ISU CMD ATK,Brand
14.1.547.8890,LOLTMNT99_113248,cq|000170,AOE Breezy,Heimerdinger
14.1.547.8890,LOLTMNT99_113248,cq|000170,TLHC Jenkins,Gnar
14.1.547.8890,LOLTMNT99_113248,cq|000170,Spica,Graves
14.1.547.8890,LOLTMNT99_113248,cq|000170,Doublelift,Jhin
14.1.547.8890,LOLTMNT99_113251,cq|000171,COLD Antcliff,Riven
14.1.547.8890,LOLTMNT99_113251,cq|000171,TA Leemo,Sejuani
14.1.547.8890,LOLTMNT99_113251,cq|000171,TL CoreJJ,Lux
14.1.547.8890,LOLTMNT99_113251,cq|000171,AOE DARKWINGS,Hwei
14.1.547.8890,LOLTMNT99_113251,cq|000171,TRV InoriB,Caitlyn
14.1.547.8890,LOLTMNT99_113251,cq|000171,MU Niles,Olaf
14.1.547.8890,LOLTMNT99_113251,cq|000171,BOG RJS,Viktor
14.1.547.8890,LOLTMNT99_113251,cq|000171,FLY Bwipo,LeeSin
14.1.547.8890,LOLTMNT99_113251,cq|000171,CAT avril,Jhin
14.1.547.8890,LOLTMNT99_113251,cq|000171,FLY Busio,Bard
14.1.547.8890,LOLTMNT99_113766,cq|000173,ANO SPOOKY,Nocturne
14.1.547.8890,LOLTMNT99_113766,cq|000173,SIN Strode,Xayah
14.1.547.8890,LOLTMNT99_113766,cq|000173,ZTA Westlander,Kennen
14.1.547.8890,LOLTMNT99_113766,cq|000173,GIA Feisty,Lucian
14.1.547.8890,LOLTMNT99_113766,cq|000173,ZTA FGG,Rakan
14.1.547.8890,LOLTMNT99_113766,cq|000173,GK Deceiving,Hwei
14.1.547.8890,LOLTMNT99_113766,cq|000173,GENK Orion ,Varus
14.1.547.8890,LOLTMNT99_113766,cq|000173,NGX Klownz,Alistar
14.1.547.8890,LOLTMNT99_113766,cq|000173,LLS Buchi,KSante
14.1.547.8890,LOLTMNT99_113766,cq|000173,GSNS Thayger,Elise
13.19.535.4316,WBGvsT1,110853020184706765|game1,WBG TheShy,Aatrox
13.19.535.4316,WBGvsT1,110853020184706765|game1,WBG Weiwei,Maokai
13.19.535.4316,WBGvsT1,110853020184706765|game1,WBG Xiaohu,Jayce
13.19.535.4316,WBGvsT1,110853020184706765|game1,WBG Light,Senna
13.19.535.4316,WBGvsT1,110853020184706765|game1,WBG Crisp,TahmKench
13.19.535.4316,WBGvsT1,110853020184706765|game1,T1 Zeus,Yone
13.19.535.4316,WBGvsT1,110853020184706765|game1,T1 Oner,LeeSin
13.19.535.4316,WBGvsT1,110853020184706765|game1,T1 Faker,Ahri
13.19.535.4316,WBGvsT1,110853020184706765|game1,T1 Gumayusi,Kalista
13.19.535.4316,WBGvsT1,110853020184706765|game1,T1 Keria,Renata
13.19.535.4316,JDGvsT1,110853020184706759|game2,JDG 369,KSante
13.19.535.4316,JDGvsT1,110853020184706759|game2,JDG Kanavi,Vi
13.19.535.4316,JDGvsT1,110853020184706759|game2,JDG knight,Orianna
13.19.535.4316,JDGvsT1,110853020184706759|game2,JDG Ruler,Kalista
13.19.535.4316,JDGvsT1,110853020184706759|game2,JDG MISSING,Senna
13.19.535.4316,JDGvsT1,110853020184706759|game2,T1 Zeus,Aatrox
13.19.535.4316,JDGvsT1,110853020184706759|game2,T1 Oner,Maokai
13.19.535.4316,JDGvsT1,110853020184706759|game2,T1 Faker,Azir
13.19.535.4316,JDGvsT1,110853020184706759|game2,T1 Gumayusi,Caitlyn
13.19.535.4316,JDGvsT1,110853020184706759|game2,T1 Keria,Ashe
13.19.535.4316,JDGvsT1,110853020184706759|game3,T1 Zeus,Aatrox
13.19.535.4316,JDGvsT1,110853020184706759|game3,T1 Oner,Rell
13.19.535.4316,JDGvsT1,110853020184706759|game3,T1 Faker,Azir
13.19.535.4316,JDGvsT1,110853020184706759|game3,T1 Gumayusi,Kalista
13.19.535.4316,JDGvsT1,110853020184706759|game3,T1 Keria,Renata
13.19.535.4316,JDGvsT1,110853020184706759|game3,JDG 369,Renekton
13.19.535.4316,JDGvsT1,110853020184706759|game3,JDG Kanavi,MonkeyKing
13.19.535.4316,JDGvsT1,110853020184706759|game3,JDG knight,Taliyah
13.19.535.4316,JDGvsT1,110853020184706759|game3,JDG Ruler,Varus
13.19.535.4316,JDGvsT1,110853020184706759|game3,JDG MISSING,Ashe
13.19.535.4316,JDGvsT1,110853020184706759|game4,JDG 369,Aatrox
13.19.535.4316,JDGvsT1,110853020184706759|game4,JDG Kanavi,Belveth
13.19.535.4316,JDGvsT1,110853020184706759|game4,JDG knight,Orianna
13.19.535.4316,JDGvsT1,110853020184706759|game4,JDG Ruler,Zeri
13.19.535.4316,JDGvsT1,110853020184706759|game4,JDG MISSING,Lulu
13.19.535.4316,JDGvsT1,110853020184706759|game4,T1 Zeus,Yone
13.19.535.4316,JDGvsT1,110853020184706759|game4,T1 Oner,JarvanIV
13.19.535.4316,JDGvsT1,110853020184706759|game4,T1 Faker,Azir
13.19.535.4316,JDGvsT1,110853020184706759|game4,T1 Gumayusi,Varus
13.19.535.4316,JDGvsT1,110853020184706759|game4,T1 Keria,Bard
13.19.535.4316,WBGvsT1,110853020184706765|game2,WBG TheShy,Aatrox
13.19.535.4316,WBGvsT1,110853020184706765|game2,WBG Weiwei,Maokai
13.19.535.4316,WBGvsT1,110853020184706765|game2,WBG Xiaohu,Ahri
13.19.535.4316,WBGvsT1,110853020184706765|game2,WBG Light,Kalista
13.19.535.4316,WBGvsT1,110853020184706765|game2,WBG Crisp,Senna
13.19.535.4316,WBGvsT1,110853020184706765|game2,T1 Zeus,Gwen
13.19.535.4316,WBGvsT1,110853020184706765|game2,T1 Oner,Nocturne
13.19.535.4316,WBGvsT1,110853020184706765|game2,T1 Faker,Sylas
13.19.535.4316,WBGvsT1,110853020184706765|game2,T1 Gumayusi,Draven
13.19.535.4316,WBGvsT1,110853020184706765|game2,T1 Keria,Renata
13.19.535.4316,WBGvsT1,110853020184706765|game3,WBG TheShy,Kennen
13.19.535.4316,WBGvsT1,110853020184706765|game3,WBG Weiwei,Belveth
13.19.535.4316,WBGvsT1,110853020184706765|game3,WBG Xiaohu,Azir
13.19.535.4316,WBGvsT1,110853020184706765|game3,WBG Light,Varus
13.19.535.4316,WBGvsT1,110853020184706765|game3,WBG Crisp,Bard
13.19.535.4316,WBGvsT1,110853020184706765|game3,T1 Zeus,Aatrox
13.19.535.4316,WBGvsT1,110853020184706765|game3,T1 Oner,LeeSin
13.19.535.4316,WBGvsT1,110853020184706765|game3,T1 Faker,Akali
13.19.535.4316,WBGvsT1,110853020184706765|game3,T1 Gumayusi,Xayah
13.19.535.4316,WBGvsT1,110853020184706765|game3,T1 Keria,Rakan
