Patch;MatchName;MatchId;SummonerName;championName
14.1.547.8890;LOLTMNT99_122305;SCRIM| AEG G2;MISA Abagnale;Rell
14.1.547.8890;LOLTMNT99_122216;Scrim| AEG G1;MISA IlllIma;Renekton
14.1.547.8890;LOLTMNT99_122216;Scrim| AEG G1;MISA Mojito;Taliyah
14.1.547.8890;LOLTMNT99_122216;Scrim| AEG G1;MISA DICE;Lucian
14.1.547.8890;LOLTMNT99_122216;Scrim| AEG G1;MISA Asza;Ziggs
14.1.547.8890;LOLTMNT99_122216;Scrim| AEG G1;MISA Abagnale;Rell
14.1.547.8890;LOLTMNT99_122216;Scrim| AEG G1;AEG Agresivoo;Jax
14.1.547.8890;LOLTMNT99_122216;Scrim| AEG G1;AEG Ryuzaki;Gragas
14.1.547.8890;LOLTMNT99_122216;Scrim| AEG G1;AEG Nafkelah;Azir
14.1.547.8890;LOLTMNT99_122216;Scrim| AEG G1;AEG Hid0;Xayah
14.1.547.8890;LOLTMNT99_122216;Scrim| AEG G1;AEG Veignorem;Nautilus
14.1.547.8890;LOLTMNT99_119690;Scrim| FUT G4;FUT StarScreen;Ornn
14.1.547.8890;LOLTMNT99_119690;Scrim| FUT G4;FUT Ferret;XinZhao
14.1.547.8890;LOLTMNT99_119690;Scrim| FUT G4;FUT Bolulu;Zoe
14.1.547.8890;LOLTMNT99_119690;Scrim| FUT G4;FUT TakeSet;Kalista
14.1.547.8890;LOLTMNT99_119690;Scrim| FUT G4;FUT kibah;Renata
14.1.547.8890;LOLTMNT99_119690;Scrim| FUT G4;AEG Agresivoo;Gnar
14.1.547.8890;LOLTMNT99_119690;Scrim| FUT G4;AEG Ryuzaki;LeeSin
14.1.547.8890;LOLTMNT99_119690;Scrim| FUT G4;AEG Nafkelah;Ahri
14.1.547.8890;LOLTMNT99_119690;Scrim| FUT G4;AEG Hid0;Caitlyn
14.1.547.8890;LOLTMNT99_119690;Scrim| FUT G4;AEG Veignorem;Lux
14.1.547.8890;LOLTMNT99_118728;Scrim| AEG G3;AEG Agresivoo;KSante
14.1.547.8890;LOLTMNT99_118728;Scrim| AEG G3;AEG Ryuzaki;Taliyah
14.1.547.8890;LOLTMNT99_118728;Scrim| AEG G3;AEG Nafkelah;Lucian
14.1.547.8890;LOLTMNT99_118728;Scrim| AEG G3;AEG Hid0;Jinx
14.1.547.8890;LOLTMNT99_118728;Scrim| AEG G3;AEG Veignorem;Braum
14.1.547.8890;LOLTMNT99_118728;Scrim| AEG G3;FUT StarScreen;Olaf
14.1.547.8890;LOLTMNT99_118728;Scrim| AEG G3;FUT Ferret;Elise
14.1.547.8890;LOLTMNT99_118728;Scrim| AEG G3;FUT Bolulu;Sion
14.1.547.8890;LOLTMNT99_118728;Scrim| AEG G3;FUT TakeSet;Caitlyn
14.1.547.8890;LOLTMNT99_118728;Scrim| AEG G3;FUT kibah;Neeko
14.1.547.8890;LOLTMNT99_118700;scrim| FUT G2;FUT StarScreen;Ornn
14.1.547.8890;LOLTMNT99_118700;scrim| FUT G2;FUT Ferret;JarvanIV
14.1.547.8890;LOLTMNT99_118700;scrim| FUT G2;FUT Bolulu;Ziggs
14.1.547.8890;LOLTMNT99_118700;scrim| FUT G2;FUT TakeSet;Kalista
14.1.547.8890;LOLTMNT99_118700;scrim| FUT G2;FUT kibah;Renata
14.1.547.8890;LOLTMNT99_118700;scrim| FUT G2;AEG Agresivoo;Kennen
14.1.547.8890;LOLTMNT99_118700;scrim| FUT G2;AEG Ryuzaki;Nocturne
14.1.547.8890;LOLTMNT99_118700;scrim| FUT G2;AEG Nafkelah;Azir
14.1.547.8890;LOLTMNT99_118700;scrim| FUT G2;AEG Hid0;Xayah
14.1.547.8890;LOLTMNT99_118700;scrim| FUT G2;AEG Veignorem;Blitzcrank
14.1.547.8890;LOLTMNT99_119550;Scrim| FUT G1;AEG Agresivoo;Jayce
14.1.547.8890;LOLTMNT99_119550;Scrim| FUT G1;AEG Ryuzaki;Nocturne
14.1.547.8890;LOLTMNT99_119550;Scrim| FUT G1;AEG Nafkelah;Swain
14.1.547.8890;LOLTMNT99_119550;Scrim| FUT G1;AEG Hid0;Kaisa
14.1.547.8890;LOLTMNT99_119550;Scrim| FUT G1;AEG Veignorem;Rakan
14.1.547.8890;LOLTMNT99_119550;Scrim| FUT G1;FUT StarScreen;Akali
14.1.547.8890;LOLTMNT99_119550;Scrim| FUT G1;FUT Ferret;LeeSin
14.1.547.8890;LOLTMNT99_119550;Scrim| FUT G1;FUT Bolulu;Sylas
14.1.547.8890;LOLTMNT99_119550;Scrim| FUT G1;FUT TakeSet;Xayah
14.1.547.8890;LOLTMNT99_119550;Scrim| FUT G1;FUT kibah;Rell
14.1.547.8890;LOLTMNT99_117982;scrims|BAR G5;AEG Agresivoo;Gwen
14.1.547.8890;LOLTMNT99_117982;scrims|BAR G5;AEG Ryuzaki;Nocturne
14.1.547.8890;LOLTMNT99_117982;scrims|BAR G5;AEG Nafkelah;Swain
14.1.547.8890;LOLTMNT99_117982;scrims|BAR G5;AEG Hid0;Caitlyn
14.1.547.8890;LOLTMNT99_117982;scrims|BAR G5;AEG Veignorem;Heimerdinger
14.1.547.8890;LOLTMNT99_117982;scrims|BAR G5;BAR WhiteKnight;Akali
14.1.547.8890;LOLTMNT99_117982;scrims|BAR G5;BAR Sajator;KSante
14.1.547.8890;LOLTMNT99_117982;scrims|BAR G5;BAR Pridestalkr;Talon
14.1.547.8890;LOLTMNT99_117982;scrims|BAR G5;BAR Legolas;Xayah
14.1.547.8890;LOLTMNT99_117982;scrims|BAR G5;BAR Hustlin;Soraka
